flow_key,status,total_bytes,received_bytes,completion_percent,first_timestamp_ms,last_timestamp_ms,duration_ms,server_isn_set,buffered_packets,tcp_seqs_count,request_method,request_uri,request_host,request_user_agent,client_addr,client_port,server_addr,server_port,request_timestamp_ms
completed_0,archived,1895,1895,100.00,1763162518127,1763162518134,7,true,0,0,"GET","/gallery.html","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",42824,"10.0.2.5",8080,1763162518127
completed_1,archived,21890236,21890236,100.00,1763162518904,1763162520415,1511,true,0,0,"GET","/images/rotatd_10.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",46242,"10.0.2.5",8080,1763162518904
completed_2,archived,22151654,22151654,100.00,1763162518911,1763162520475,1564,true,0,0,"GET","/images/rotatd_13.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",46264,"10.0.2.5",8080,1763162518911
completed_3,archived,21053875,21053875,100.00,1763162518770,1763162520492,1722,true,0,0,"GET","/images/","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",42824,"10.0.2.5",8080,1763162518770
completed_4,archived,21970814,21970814,100.00,1763162518907,1763162520574,1667,true,0,0,"GET","/images/rotatd_11.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",46246,"10.0.2.5",8080,1763162518907
completed_5,archived,22237768,22237768,100.00,1763162518912,1763162520584,1672,true,0,0,"GET","/images/rotatd_14.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",46276,"10.0.2.5",8080,1763162518912
completed_6,archived,22079594,22079594,100.00,1763162518909,1763162520669,1760,true,0,0,"GET","/images/rotatd_12.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",46260,"10.0.2.5",8080,1763162518909
completed_7,archived,22313890,22313890,100.00,1763162520781,1763162521999,1218,true,0,0,"GET","/images/rotatd_15.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",46242,"10.0.2.5",8080,1763162520781
completed_8,archived,22386230,22386230,100.00,1763162520872,1763162522249,1377,true,0,0,"GET","/images/rotatd_16.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",42824,"10.0.2.5",8080,1763162520872
completed_9,archived,22459623,22459623,100.00,1763162520877,1763162522276,1399,true,0,0,"GET","/images/rotatd_17.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",46264,"10.0.2.5",8080,1763162520877
