flow_key,status,total_bytes,received_bytes,completion_percent,first_timestamp_ms,last_timestamp_ms,duration_ms,server_isn_set,buffered_packets,tcp_seqs_count,request_method,request_uri,request_host,request_user_agent,client_addr,client_port,server_addr,server_port,request_timestamp_ms
completed_0,archived,1895,1895,100.00,1763162999906,1763162999909,3,true,0,0,"GET","/gallery.html","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34046,"10.0.2.5",8080,1763162999906
completed_1,archived,153,153,100.00,1763162999936,1763163000512,576,true,0,0,"GET","/images/","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34046,"10.0.2.5",8080,1763162999936
completed_2,archived,21053875,21053875,100.00,1763163000530,1763163004637,4107,true,0,0,"GET","/images/rotatd_1.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34046,"10.0.2.5",8080,1763163000530
completed_3,archived,21890236,21890236,100.00,1763163000534,1763163004803,4269,true,0,0,"GET","/images/rotatd_10.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34032,"10.0.2.5",8080,1763163000534
completed_4,archived,22079594,22079594,100.00,1763163000549,1763163005117,4568,true,0,0,"GET","/images/rotatd_12.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34024,"10.0.2.5",8080,1763163000549
completed_5,archived,22237768,22237768,100.00,1763163000558,1763163005171,4613,true,0,0,"GET","/images/rotatd_14.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34006,"10.0.2.5",8080,1763163000558
completed_6,archived,21970814,21970814,100.00,1763163000538,1763163005200,4662,true,0,0,"GET","/images/rotatd_11.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34030,"10.0.2.5",8080,1763163000538
completed_7,archived,22151654,22151654,100.00,1763163000553,1763163005221,4668,true,0,0,"GET","/images/rotatd_13.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34010,"10.0.2.5",8080,1763163000553
completed_8,archived,21157130,21157130,100.00,1763163005472,1763163008575,3103,true,0,0,"GET","/images/rotatd_2.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34006,"10.0.2.5",8080,1763163005472
completed_9,archived,22313890,22313890,100.00,1763163004736,1763163008582,3846,true,0,0,"GET","/images/rotatd_15.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15","10.0.0.140",34046,"10.0.2.5",8080,1763163004736
