flow_key,status,total_bytes,received_bytes,completion_percent,first_timestamp_ms,last_timestamp_ms,duration_ms,server_isn_set,buffered_packets,tcp_seqs_count,request_method,request_uri,request_host,request_user_agent,client_addr,client_port,server_addr,server_port,request_timestamp_ms
completed_0,archived,21053875,21053875,100.00,1763162616744,1763162618340,1596,true,0,0,"GET","/images/","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",36980,"10.0.2.5",8080,1763162616744
completed_1,archived,22079594,22079594,100.00,1763162616901,1763162618359,1458,true,0,0,"GET","/images/rotatd_12.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37010,"10.0.2.5",8080,1763162616901
completed_2,archived,22151654,22151654,100.00,1763162616903,1763162618377,1474,true,0,0,"GET","/images/rotatd_13.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37016,"10.0.2.5",8080,1763162616903
completed_3,archived,22237768,22237768,100.00,1763162616908,1763162618388,1480,true,0,0,"GET","/images/rotatd_14.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37032,"10.0.2.5",8080,1763162616908
completed_4,archived,21970814,21970814,100.00,1763162616899,1763162618409,1510,true,0,0,"GET","/images/rotatd_11.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37004,"10.0.2.5",8080,1763162616899
completed_5,archived,21890236,21890236,100.00,1763162616897,1763162618447,1550,true,0,0,"GET","/images/rotatd_10.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",36992,"10.0.2.5",8080,1763162616897
completed_6,archived,22459623,22459623,100.00,1763162618651,1763162620034,1383,true,0,0,"GET","/images/rotatd_17.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",36992,"10.0.2.5",8080,1763162618651
completed_7,archived,21157130,21157130,100.00,1763162618813,1763162620041,1228,true,0,0,"GET","/images/rotatd_2.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37032,"10.0.2.5",8080,1763162618813
completed_8,archived,22313890,22313890,100.00,1763162618557,1763162620057,1500,true,0,0,"GET","/images/rotatd_15.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",36980,"10.0.2.5",8080,1763162618557
completed_9,archived,22597486,22597486,100.00,1763162618810,1763162620069,1259,true,0,0,"GET","/images/rotatd_19.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37016,"10.0.2.5",8080,1763162618810
completed_10,archived,22528372,22528372,100.00,1763162618671,1763162620095,1424,true,0,0,"GET","/images/rotatd_18.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37010,"10.0.2.5",8080,1763162618671
completed_11,archived,22386230,22386230,100.00,1763162618651,1763162620114,1463,true,0,0,"GET","/images/rotatd_16.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37004,"10.0.2.5",8080,1763162618651
completed_12,archived,22787114,22787114,100.00,1763162620286,1763162621611,1325,true,0,0,"GET","/images/rotatd_22.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37010,"10.0.2.5",8080,1763162620286
completed_13,archived,22842044,22842044,100.00,1763162620286,1763162621681,1395,true,0,0,"GET","/images/rotatd_23.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",36980,"10.0.2.5",8080,1763162620286
completed_14,archived,22725558,22725558,100.00,1763162620227,1763162621685,1458,true,0,0,"GET","/images/rotatd_21.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",36992,"10.0.2.5",8080,1763162620227
completed_15,archived,22663075,22663075,100.00,1763162620227,1763162621719,1492,true,0,0,"GET","/images/rotatd_20.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37004,"10.0.2.5",8080,1763162620227
completed_16,archived,22897586,22897586,100.00,1763162620293,1763162621739,1446,true,0,0,"GET","/images/rotatd_24.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37032,"10.0.2.5",8080,1763162620293
completed_17,archived,22944258,22944258,100.00,1763162620346,1763162621895,1549,true,0,0,"GET","/images/rotatd_25.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",37016,"10.0.2.5",8080,1763162620346
